Relative Path,Name,Animal,Group,Time,CONTROL
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_036_S399106_MINOCAZH008_300min_MINOCA_300.raw,MINOCAZH008_300min,MINOCAZH008,MINOCA,300min,T
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_035_S399115_MINOCAZH012_300min_MINOCA_300.raw,MINOCAZH012_300min,MINOCAZH012,MINOCA,300min,T
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_032_S399130_CORFLOWMT015_300min_CORFLOW_300.raw,CORFLOWMT015_300min,CORFLOWMT015,CORFLOW,300min,C
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_031_S399101_MINOCAZH007_0min_MINOCA_0.raw,MINOCAZH007_0min,MINOCAZH007,MINOCA,0min,T
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_030_S399098_MINOCAZH006_0min_MINOCA_0.raw,MINOCAZH006_0min,MINOCAZH006,MINOCA,0min,T
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_029_S399104_MINOCAZH008_0min_MINOCA_0.raw,MINOCAZH008_0min,MINOCAZH008,MINOCA,0min,T
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_027_S399099_MINOCAZH006_150min_MINOCA_150.raw,MINOCAZH006_150min,MINOCAZH006,MINOCA,150min,T
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_026_S399107_MINOCAZH009_0min_MINOCA_0.raw,MINOCAZH009_0min,MINOCAZH009,MINOCA,0min,T
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_025_S399105_MINOCAZH008_150min_MINOCA_150.raw,MINOCAZH008_150min,MINOCAZH008,MINOCA,150min,T
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_024_S399112_MINOCAZH011_300min_MINOCA_300.raw,MINOCAZH011_300min,MINOCAZH011,MINOCA,300min,T
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_021_S399118_CORFLOWMT009_300min_CORFLOW_300.raw,CORFLOWMT009_300min,CORFLOWMT009,CORFLOW,300min,C
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_020_S399113_MINOCAZH012_0min_MINOCA_0.raw,MINOCAZH012_0min,MINOCAZH012,MINOCA,0min,T
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_019_S399119_CORFLOWMT012_0min_CORFLOW_0.raw,CORFLOWMT012_0min,CORFLOWMT012,CORFLOW,0min,C
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_018_S399111_MINOCAZH011_150min_MINOCA_150.raw,MINOCAZH011_150min,MINOCAZH011,MINOCA,150min,T
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_016_S399103_MINOCAZH007_300min_MINOCA_300.raw,MINOCAZH007_300min,MINOCAZH007,MINOCA,300min,T
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_015_S399127_CORFLOWMT014_300min_CORFLOW_300.raw,CORFLOWMT014_300min,CORFLOWMT014,CORFLOW,300min,C
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_014_S399124_CORFLOWMT013_270min_CORFLOW_300.raw,CORFLOWMT013_300min,CORFLOWMT013,CORFLOW,300min,C
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_013_S399109_MINOCAZH009_420min_MINOCA_300.raw,MINOCAZH009_300min,MINOCAZH009,MINOCA,300min,T
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_010_S399123_CORFLOWMT013_150min_CORFLOW_150.raw,CORFLOWMT013_150min,CORFLOWMT013,CORFLOW,150min,C
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_009_S399133_CORFLOWMT020_300min_CORFLOW_300.raw,CORFLOWMT020_300min,CORFLOWMT020,CORFLOW,300min,C
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_008_S399129_CORFLOWMT015_150min_CORFLOW_150.raw,CORFLOWMT015_150min,CORFLOWMT015,CORFLOW,150min,C
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_007_S399121_CORFLOWMT012_300min_CORFLOW_300.raw,CORFLOWMT012_300min,CORFLOWMT012,CORFLOW,300min,C
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_005_S399110_MINOCAZH011_0min_MINOCA_0.raw,MINOCAZH011_0min,MINOCAZH011,MINOCA,0min,T
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_004_S399100_MINOCAZH006_300min_MINOCA_300.raw,MINOCAZH006_300min,MINOCAZH006,MINOCA,300min,T
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_003_S399132_CORFLOWMT020_150min_CORFLOW_150.raw,CORFLOWMT020_150min,CORFLOWMT020,CORFLOW,150min,C
p28846/Proteomics/LUMOS_2/analytic_20220711/20220711_C28846_002_S399116_CORFLOWMT009_0min_CORFLOW_0_rep_1ul.raw,CORFLOWMT009_0min,CORFLOWMT009,CORFLOW,0min,C
