Relative Path,Name,Grouping Var,CONTROL
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_050_FT29_MEDIUM_3.d.zip,FT29_MEDIUM_3,FT29,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_004_FT39_MEDIUM_6.d.zip,FT39_MEDIUM_6,FT39,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_018_FTN_MEDIUM_3.d.zip,FTN_MEDIUM_3,FTN,C
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_033_FT23_MEDIUM_3.d.zip,FT23_MEDIUM_3,FT23,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_048_FT29_MEDIUM_5.d.zip,FT29_MEDIUM_5,FT29,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_049_FT23_MEDIUM_4.d.zip,FT23_MEDIUM_4,FT23,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_052_FT29_MEDIUM_2.d.zip,FT29_MEDIUM_2,FT29,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_030_FT10_MEDIUM_2.d.zip,FT10_MEDIUM_2,FT10,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_012_FT17_MEDIUM_6.d.zip,FT17_MEDIUM_6,FT17,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_034_FT38_MEDIUM_6.d.zip,FT38_MEDIUM_6,FT38,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_029_FT17_MEDIUM_1.d.zip,FT17_MEDIUM_1,FT17,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_026_FT39_MEDIUM_3.d.zip,FT39_MEDIUM_3,FT39,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_038_FTN_MEDIUM_4.d.zip,FTN_MEDIUM_4,FTN,C
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_031_FT38_MEDIUM_5.d.zip,FT38_MEDIUM_5,FT38,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_005_FT38_MEDIUM_1.d.zip,FT38_MEDIUM_1,FT38,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_035_FT17_MEDIUM_2.d.zip,FT17_MEDIUM_2,FT17,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_015_FT29_MEDIUM_6.d.zip,FT29_MEDIUM_6,FT29,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_009_FT10_MEDIUM_6.d.zip,FT10_MEDIUM_6,FT10,T
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_011_FTN_MEDIUM_5.d.zip,FTN_MEDIUM_5,FTN,C
p30380/Proteomics/TIMSTOF_1/cfortes_20230209_/zip/20230209_017_FT23_MEDIUM_2.d.zip,FT23_MEDIUM_2,FT23,T
